"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","Barking and Dagenham","E09000002","Total","All ages",232747,"A"
"2024","2024","Barnet","E09000003","Total","All ages",405050,"A"
"2024","2024","Bexley","E09000004","Total","All ages",256434,"A"
"2024","2024","Brent","E09000005","Total","All ages",352976,"A"
"2024","2024","Bromley","E09000006","Total","All ages",335319,"A"
"2024","2024","Croydon","E09000008","Total","All ages",409342,"A"
"2024","2024","Ealing","E09000009","Total","All ages",385985,"A"
"2024","2024","Enfield","E09000010","Total","All ages",327434,"A"
"2024","2024","Greenwich","E09000011","Total","All ages",299528,"A"
"2024","2024","Harrow","E09000015","Total","All ages",270724,"A"
"2024","2024","Havering","E09000016","Total","All ages",276274,"A"
"2024","2024","Hillingdon","E09000017","Total","All ages",329185,"A"
"2024","2024","Hounslow","E09000018","Total","All ages",299424,"A"
"2024","2024","Kingston upon Thames","E09000021","Total","All ages",172692,"A"
"2024","2024","Merton","E09000024","Total","All ages",218539,"A"
"2024","2024","Redbridge","E09000026","Total","All ages",321231,"A"
"2024","2024","Richmond upon Thames","E09000027","Total","All ages",196678,"A"
"2024","2024","Sutton","E09000029","Total","All ages",214525,"A"
"2024","2024","Waltham Forest","E09000031","Total","All ages",279737,"A"
"2024","2024","Bracknell Forest","E06000036","Total","All ages",130806,"A"
"2024","2024","Brighton and Hove","E06000043","Total","All ages",283870,"A"
"2024","2024","Isle of Wight","E06000046","Total","All ages",141660,"A"
"2024","2024","Medway","E06000035","Total","All ages",292655,"A"
"2024","2024","Milton Keynes","E06000042","Total","All ages",305884,"A"
"2024","2024","Portsmouth","E06000044","Total","All ages",214321,"A"
"2024","2024","Reading","E06000038","Total","All ages",182907,"A"
"2024","2024","Slough","E06000039","Total","All ages",167359,"A"
"2024","2024","Southampton","E06000045","Total","All ages",259424,"A"
"2024","2024","West Berkshire","E06000037","Total","All ages",165112,"A"
"2024","2024","Windsor and Maidenhead","E06000040","Total","All ages",158943,"A"
"2024","2024","Wokingham","E06000041","Total","All ages",187200,"A"
"2024","2024","Aylesbury Vale","E07000004","Total","All ages",,"Q"
"2024","2024","Chiltern","E07000005","Total","All ages",,"Q"
"2024","2024","South Bucks","E07000006","Total","All ages",,"Q"
"2024","2024","Wycombe","E07000007","Total","All ages",,"Q"
"2024","2024","Eastbourne","E07000061","Total","All ages",104259,"A"
"2024","2024","Hastings","E07000062","Total","All ages",91219,"A"
"2024","2024","Lewes","E07000063","Total","All ages",102363,"A"
"2024","2024","Rother","E07000064","Total","All ages",96133,"A"
"2024","2024","Wealden","E07000065","Total","All ages",166908,"A"
"2024","2024","Basingstoke and Deane","E07000084","Total","All ages",193110,"A"
"2024","2024","East Hampshire","E07000085","Total","All ages",129975,"A"
"2024","2024","Eastleigh","E07000086","Total","All ages",142933,"A"
"2024","2024","Fareham","E07000087","Total","All ages",115428,"A"
"2024","2024","Gosport","E07000088","Total","All ages",82921,"A"
"2024","2024","Hart","E07000089","Total","All ages",103162,"A"
"2024","2024","Havant","E07000090","Total","All ages",126985,"A"
"2024","2024","New Forest","E07000091","Total","All ages",176116,"A"
